id,name,cuisine,category,diet,calories,price,rating,prep_time_min,ingredients,description,image_url
1,Margherita Pizza,Italian,Main Course,Vegetarian,266,8.5,4.5,20,"tomato, mozzarella, basil, olive oil, pizza dough",Classic Neapolitan pizza with fresh basil and melted mozzarella,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=600
2,Spaghetti Carbonara,Italian,Main Course,Non-Vegetarian,430,10.0,4.6,25,"spaghetti, egg, pancetta, parmesan, black pepper",Creamy Roman pasta dish made with egg and cured pork,https://images.unsplash.com/photo-1612874742237-6526221588e3?w=600
3,Chicken Butter Masala,Indian,Main Course,Non-Vegetarian,438,9.0,4.7,35,"chicken, tomato, butter, cream, garam masala",Rich and creamy North Indian curry with tender chicken chunks,https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=600
4,Paneer Tikka,Indian,Appetizer,Vegetarian,320,7.0,4.4,25,"paneer, yogurt, bell pepper, spices",Chargrilled cottage cheese cubes marinated in spiced yogurt,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=600
5,Sushi Platter,Japanese,Main Course,Non-Vegetarian,350,15.0,4.8,40,"rice, nori, salmon, tuna, avocado, soy sauce",Assorted fresh nigiri and maki rolls served with wasabi,https://images.unsplash.com/photo-1579584425555-c3ce17fd4351?w=600
6,Ramen Noodle Soup,Japanese,Main Course,Non-Vegetarian,480,11.0,4.6,30,"noodles, pork broth, egg, scallion, nori",Comforting Japanese noodle soup with rich savory broth,https://images.unsplash.com/photo-1569718212165-3a8278d5f624?w=600
7,Beef Tacos,Mexican,Main Course,Non-Vegetarian,310,6.5,4.3,20,"tortilla, beef, lettuce, cheese, salsa",Soft corn tortillas filled with seasoned ground beef,https://images.unsplash.com/photo-1551504734-5ee1c4a1479b?w=600
8,Vegetable Burrito,Mexican,Main Course,Vegan,410,7.5,4.2,20,"tortilla, beans, rice, avocado, salsa",Hearty burrito loaded with beans rice and fresh veggies,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=600
9,Classic Cheeseburger,American,Main Course,Non-Vegetarian,540,8.0,4.5,15,"beef patty, cheese, lettuce, tomato, bun",Juicy grilled beef patty topped with melted cheddar,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=600
10,Caesar Salad,American,Salad,Vegetarian,220,6.0,4.1,10,"romaine lettuce, parmesan, croutons, caesar dressing",Crisp romaine tossed in creamy caesar dressing with croutons,https://images.unsplash.com/photo-1550304943-4f24f54ddde9?w=600
11,Pad Thai,Thai,Main Course,Non-Vegetarian,375,9.5,4.5,25,"rice noodles, shrimp, egg, peanuts, tamarind",Stir-fried rice noodles with shrimp egg and crushed peanuts,https://images.unsplash.com/photo-1559314809-0d155014e29e?w=600
12,Green Curry,Thai,Main Course,Non-Vegetarian,410,9.0,4.4,30,"coconut milk, green curry paste, chicken, eggplant, basil",Fragrant coconut curry with fresh Thai basil and chicken,https://images.unsplash.com/photo-1455619452474-d2be8b1e70cd?w=600
13,Falafel Wrap,Mediterranean,Main Course,Vegan,390,6.5,4.3,20,"chickpeas, tahini, pita, lettuce, tomato",Crispy chickpea falafel wrapped in warm pita with tahini,https://images.unsplash.com/photo-1607013251379-e6eecfffe234?w=600
14,Greek Salad,Mediterranean,Salad,Vegetarian,230,6.0,4.4,10,"cucumber, tomato, feta, olives, olive oil",Refreshing salad with feta cheese and kalamata olives,https://images.unsplash.com/photo-1540420773420-3366772f4999?w=600
15,Croissant,French,Breakfast,Vegetarian,270,3.5,4.6,5,"butter, flour, yeast, milk",Buttery flaky French pastry perfect for breakfast,https://images.unsplash.com/photo-1555507036-ab1f4038808a?w=600
16,Beef Bourguignon,French,Main Course,Non-Vegetarian,520,14.0,4.7,90,"beef, red wine, carrot, onion, mushroom",Slow braised beef stew in rich red wine sauce,https://images.unsplash.com/photo-1600891964092-4316c288032e?w=600
17,Kung Pao Chicken,Chinese,Main Course,Non-Vegetarian,400,8.5,4.5,25,"chicken, peanuts, chili, bell pepper, soy sauce",Spicy stir-fried chicken with peanuts and dried chilies,https://images.unsplash.com/photo-1525755662778-989d0524087e?w=600
18,Vegetable Fried Rice,Chinese,Main Course,Vegan,340,6.0,4.2,15,"rice, carrot, peas, soy sauce, scallion",Wok-tossed rice with mixed vegetables and soy sauce,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=600
19,Butter Chicken Naan,Indian,Main Course,Non-Vegetarian,450,9.5,4.7,30,"chicken, butter, cream, naan, tomato",Tender chicken in velvety tomato butter sauce with naan,https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=600
20,Masala Dosa,Indian,Breakfast,Vegetarian,280,5.0,4.5,20,"rice batter, lentils, potato, mustard seeds",Crispy rice crepe filled with spiced potato masala,https://images.unsplash.com/photo-1630383249896-424e482df921?w=600
21,Chocolate Lava Cake,Dessert,Dessert,Vegetarian,450,6.0,4.8,20,"chocolate, butter, egg, sugar, flour",Warm chocolate cake with a molten gooey center,https://images.unsplash.com/photo-1624353365286-3f8d62daad51?w=600
22,Tiramisu,Italian,Dessert,Vegetarian,380,6.5,4.7,15,"mascarpone, coffee, ladyfingers, cocoa",Classic Italian coffee flavored layered dessert,https://images.unsplash.com/photo-1571877227200-a0d98ea607e9?w=600
23,New York Cheesecake,American,Dessert,Vegetarian,410,6.0,4.6,15,"cream cheese, sugar, egg, graham cracker",Rich and creamy baked cheesecake with a graham crust,https://images.unsplash.com/photo-1524351199678-941a58a3df50?w=600
24,Belgian Waffles,Breakfast,Breakfast,Vegetarian,310,5.5,4.5,15,"flour, egg, milk, butter, maple syrup",Golden crispy waffles served with maple syrup,https://images.unsplash.com/photo-1562376552-0d160a2f238d?w=600
25,Avocado Toast,Breakfast,Breakfast,Vegan,240,5.0,4.3,10,"bread, avocado, lemon, chili flakes",Toasted sourdough topped with smashed avocado and chili,https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?w=600
26,Grilled Salmon,Continental,Main Course,Non-Vegetarian,367,13.0,4.6,20,"salmon, lemon, asparagus, olive oil",Pan seared salmon fillet with lemon butter and greens,https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?w=600
27,Mushroom Risotto,Italian,Main Course,Vegetarian,360,9.0,4.4,35,"arborio rice, mushroom, parmesan, white wine",Creamy Italian rice dish with wild mushrooms and parmesan,https://images.unsplash.com/photo-1476124369491-e7addf5db371?w=600
